id,title,audience,thumb,thumbGif,href,comingSoon,comingSoonDate,desc,active,staffAudiences
shp,Sexual Harassment Prevention,workplace|highered|k12,img_shp.png,img_shp.gif,/course-shp.html,FALSE,,"Clear, engaging training that meets legal requirements while helping people navigate real workplace situations with confidence. Uses humor to reduce defensiveness, build shared expectations, and support a respectful culture.",true,k12|highered
ta,Threat Assessment,workplace,img_ta.png,img_ta.gif,/course-ta.html,FALSE,,"Helps your organization recognize early warning signs, respond appropriately, and understand their role in keeping others safe. Focused on early support, clear pathways to action, and building trust in the process.",true,
ta-he,Threat Assessment,highered,img_ta.png,img_ta.gif,/course-ta-he.html,FALSE,,"Helps your campus community recognize early warning signs, respond appropriately, and understand their role in keeping others safe. Focused on early support, clear pathways to action, and building trust in the process.",true,
ta-k12,Threat Assessment,k12,img_ta.png,img_ta.gif,/course-ta-k12.html,FALSE,,"Helps students and staff recognize early warning signs, respond appropriately, and understand their role in keeping the school community safe. Focused on early support, clear pathways to action, and building trust in the process.",true,
al,Alcohol Awareness,highered,img_al.png,img_al.gif,/coming-soon-al.html,TRUE,July 2026,"Honest, non-preachy education that helps people understand their patterns and make more intentional choices. Grounded in self-reflection, awareness, and aligning decisions with what matters most.",true,
hr,HR Fundamentals,k12|highered|workplace,img_hr.png,img_hr.gif,/coming-soon-hr.html,TRUE,July 2026,"Practical, no-nonsense guidance on core people management skills like setting expectations, giving feedback, and addressing issues early. Helps managers lead clearly, consistently, and fairly.",true,k12|highered
mh-k12,Mental Health Basics,k12,img_mh-k12.png,img_mh-k12.gif,/coming-soon-mh-k12.html,TRUE,June 2026,"Helps students recognize and name their emotions, build self-awareness, and make more intentional choices in the moment. Reinforces that all emotions are part of being human—and that they will pass.",true,
mh-he,Mental Health Support,highered,img_mh-he.png,img_mh-he.gif,/coming-soon-mh-he.html,TRUE,June 2026,"Helps students build self-awareness, understand their emotions, and make more intentional choices in challenging moments. Encourages recognition of signs of struggle and supports a campus culture where seeking help feels normal.",true,
co-k12,Consent,k12,img_co-k12.png,img_co-k12.gif,/course-co-k12.html,FALSE,,"Age-appropriate, engaging lessons that help students understand bodily autonomy, boundaries, and consent. Builds skills for asking, listening, and respecting others from an early age.",true,
shp-he,Sexual Harassment Prevention,highered,img_shp-he.png,img_shp-he.gif,/course-shp-he.html,FALSE,,"Clear, engaging training that meets legal requirements while helping students navigate real situations with confidence. Uses humor to reduce defensiveness, build shared expectations, and support a respectful campus culture.",true,
t9-he,Title IX,highered,img_t9.png,img_t9.gif,/coming-soon-t9.html,TRUE,,"Explains how Title IX works on campus, including rights, reporting options, and what happens after a report is made. Gives students a clear understanding of the process so they can navigate it with more confidence.",false,
by-he,Bystander Intervention,highered,img_by-he.png,img_by-he.gif,/course-by-he.html,FALSE,,"Helps students recognize when something isn’t right, step in safely, and know when to involve others. Focuses on practical, realistic ways to support others and contribute to a safer campus community",false,
by-k12,Be a Bystander,k12,img_by-k12.png,img_by-k12.gif,/course-by-k12.html,FALSE,,"Helps students recognize when something isn’t right and take simple, age-appropriate action. Builds confidence to speak up, support others, and be part of a safer, more respectful community.",true,
sg,Safeguarding,k12|highered|workplace,img_sg.png,img_sg.gif,/coming-soon-sg.html,TRUE,June 2026,Help your organization safeguard vulnerable people.  This compelling course will help your community act with fairness and integrity when there is a report of sexual misconduct.,TRUE,highered|k12
cy,Cybersecurity,k12|highered|workplace,img_cy.png,img_cy.gif,/coming-soon-cy.html,TRUE,May 2026,"Practical, engaging training that helps people recognize common scams, slow down in high-pressure moments, and make smarter decisions in a digital world. Turns abstract risks into clear, memorable actions.",TRUE,
bf-k12,Bias and Fairness,k12,img_bf-k12.png,img_bf-k12.gif,/course-bf-k12.html,FALSE,,"Ferdinand Ferret is on the case—joined by his practical, no-nonsense partner Dr. Bear. This three-part series helps students understand bias and fairness, question snap judgments, and think a little more carefully about they see others.",TRUE,
