courseId,vimeoId,hash,tag,clipTitle,clipDesc
shp,1117099851,e8a752b2e2,Intro,Welcome: Your Right to a Respectful Workplace,Every employee is entitled to a harassment-free environment. Here's what that means and why it matters.
shp,1111431000,aadb3a79ee,Concepts,Person to Person Harassment,What counts as harassment between coworkers — and why intent doesn't equal impact.
shp,1121597000,2466e595b5,Meet Stan,Stan — Unwelcome Questions,"Stan means well but keeps crossing lines. A candid, funny look at what unwelcome actually means at work."
shp,1117104000,92e053e17b,Reporting,Reporting & Retaliation Protection,"It's okay to report. You're protected. And if you're a manager, reporting isn't optional."
shp,1117123000,4094bffc04,Concepts,Quid Pro Quo,What quid pro quo harassment looks like — and why it's always a misuse of power.
ta,1181596966,e4a12063ac,Intro,Introduction to Safety Culture,”What does a “safety culture” mean in real life? This video shows how small, everyday actions—like noticing, checking in, and speaking up—add up to a community where people look out for each other.”
ta,1181596979,43cc3cc06b,Key Concepts,The Pathway to Violence,Concerning behavior rarely appears out of nowhere. This video introduces the idea of a pathway to violence and helps viewers understand what to notice—without expecting them to diagnose or predict outcomes.
ta,1181597011,6dc4face20,Skills,What To Do When There's An Immediate Threat,”In rare but urgent situations, clear action matters. This video walks through practical steps to protect yourself and others when something feels immediately unsafe.”
ta-he,1181596966,e4a12063ac,Intro,Introduction to Safety Culture,”What does a “safety culture” mean in real life? This video shows how small, everyday actions—like noticing, checking in, and speaking up—add up to a community where people look out for each other.”
ta-he,1181596979,43cc3cc06b,Key Concepts,The Pathway to Violence,Concerning behavior rarely appears out of nowhere. This video introduces the idea of a pathway to violence and helps viewers understand what to notice—without expecting them to diagnose or predict outcomes.
ta-he,1181597011,6dc4face20,Skills,What To Do When There's An Immediate Threat,”In rare but urgent situations, clear action matters. This video walks through practical steps to protect yourself and others when something feels immediately unsafe.”
ta-k12,1181596966,e4a12063ac,Intro,Introduction to Safety Culture,”What does a “safety culture” mean in real life? This video shows how small, everyday actions—like noticing, checking in, and speaking up—add up to a community where people look out for each other.”
ta-k12,1181596979,43cc3cc06b,Key Concepts,The Pathway to Violence,Concerning behavior rarely appears out of nowhere. This video introduces the idea of a pathway to violence and helps viewers understand what to notice—without expecting them to diagnose or predict outcomes.
ta-k12,1181597011,6dc4face20,Skills,What To Do When There's An Immediate Threat,”In rare but urgent situations, clear action matters. This video walks through practical steps to protect yourself and others when something feels immediately unsafe.”
